rank,source_id,match_pct,category,kind,status,budget,responses,title,brief,url
1,5515592,95,"Бизнес-автоматизация / CRM",project,open,"по договоренности",26,"Внедрение ИИ-агента для автоматизации переписок с клиентами","Агент для переписки в мессенджерах и по email с интеграцией в коробочный Битрикс24.","https://www.fl.ru/projects/5515592/vnedrenie-ii-agenta-dlya-avtomatizatsii-perepisok-s-klientami.html"
2,5514909,93,"Бизнес-автоматизация / CRM",project,open,"по договоренности",45,"Интеграция GPT и Битрикс для международной логистики","AI-система для логистической компании на базе Bitrix24 и n8n.","https://www.fl.ru/projects/5514909/integratsiya-gpt-i-bitriks-dlya-mejdunarodnoy-logistiki-.html"
3,5513206,92,"Бизнес-автоматизация / CRM",project,open,"по договоренности",17,"AI агент","Агент в Битрикс24 должен отслеживать открытые линии, разбирать файлы и работать с чатами.","https://www.fl.ru/projects/5513206/ai-agent.html"
4,5514888,90,"AI-агенты / платформа",project,assigned,"50 000",0,"AI-агент","Корпоративный Telegram-агент с интеграцией в сервисы Яндекса. Исполнитель уже определен.","https://www.fl.ru/projects/5514888/ai-agent.html"
5,5515230,90,"Бизнес-автоматизация / CRM",project,open,"по договоренности",24,"Подключить ИИ-ассистента для переписки и отправки фотографий в чате","Ассистент для переписки, фото и видео с клиентами с подключением к Kommo.","https://www.fl.ru/projects/5515230/podklyuchit-ii-asisstenta-dlya-prepiski-i-otpravki-fotografiy-v-chate.html"
6,5514469,88,"Документы / расчеты",project,open,"по договоренности",27,"Помощь в настройке Claude","Автоматическое создание коммерческих предложений и расчетов по шаблонам и параметрам.","https://www.fl.ru/projects/5514469/pomosch-v-nastroyke-claude.html"
7,5514270,85,"AI-агенты / платформа",project,open,"по договоренности",36,"Разработка мультиагентной AI-платформы","Серверная часть AI-офиса по готовой архитектуре с несколькими агентами.","https://www.fl.ru/projects/5514270/razrabotka-multiagentnoy-ai-platformyi.html"
8,5514438,85,"Claude / инфраструктура",project,open,"по договоренности",15,"Установить Claude на VPS","Безопасная среда Claude Code на Mac и VPS с Docker, MCP, Git и автоматизацией.","https://www.fl.ru/projects/5514438/ustonovit-claude-na-vsp.html"
9,5512034,82,"Вакансия / роль",vacancy,open,"от 200 000 ₽",72,"Разработчик ИИ-сервисов и агентов","Постоянная загрузка на Python, LLM, RAG, AI-агентах и автоматизации бизнес-процессов.","https://www.fl.ru/projects/5512034/razrabotchik-ii-servisov-i-agentov-python-llm-rag--udalnka-postoyannyie-zakazyi.html"
10,5515278,80,"Вакансия / роль",vacancy,open,"от 30 000 ₽",17,"AI-инженер / промпт-инженер в штат","Развитие внутренней AI-системы автоматизации и последующие клиентские проекты.","https://www.fl.ru/projects/5515278/ai-injener---prompt-injener-v-shtat-udalnno.html"
11,5515507,80,"Вакансия / роль",vacancy,open,"до 30 000 ₽",17,"Специалист по n8n и AI-промптам","Долгосрочная работа над внутренней системой автоматизации бизнес-процессов.","https://www.fl.ru/projects/5515507/ischu-spetsialista-po-n8n-i-ai-promptam-v-dolgosrochnyiy-proekt.html"
12,5514482,78,"AI-продукт / full-stack",project,open,"100 000",14,"Платформа с AI","B2B-платформа поиска поставщиков по отдельному техническому заданию.","https://www.fl.ru/projects/5514482/platforma-s-ai.html"
13,5515270,75,"Документы / данные",project,open,"747",12,"Обработка и преобразование большого объема текста","Система должна устойчиво обрабатывать большие тексты, где текущий промпт Claude ломается.","https://www.fl.ru/projects/5515270/obrabotka-i-preobrazovanie-bolshogo-obema-teksta.html"
14,5508416,72,"AI-продукт / full-stack",project,open,"по договоренности",59,"Разработка MVP Telegram-бота / AI-сервиса","Собрать рабочий прототип AI-сервиса или Telegram-бота и предложить реализацию.","https://www.fl.ru/projects/5508416/razrabotka-mvp-telegram-bota---ai-servisa.html"
15,5510040,70,"Claude / инфраструктура",project,assigned,"по договоренности",0,"Настройка подключения Claude Code","Диагностика неудачных попыток подключения Claude Code. Исполнитель уже определен.","https://www.fl.ru/projects/5510040/nastroyka-podklyucheniya-claude-code-.html"
16,5511540,65,"Автоматизация / разработка",project,assigned,"по договоренности",0,"Создание бота для мониторинга канала","Telegram-бот переносит сообщения канала в таблицу для анализа. Исполнитель уже определен.","https://www.fl.ru/projects/5511540/sozdanie-bota-dlya-monitoringa-kanala-.html"
17,5512599,65,"Вакансия / роль",vacancy,open,"по результатам собеседования",133,"Вайб-кодер в команду","Part-time роль для быстрого создания прототипов с AI-инструментами.","https://www.fl.ru/projects/5512599/vayb-koder-v-komandu-part-time-1020-ch-ned.html"
18,5514267,65,"Автоматизация / разработка",project,open,"20 000",37,"Парсер для многошаговых форм","Автоматическое заполнение форм в личном кабинете плюс спецификация, пригодная для AI-разработки.","https://www.fl.ru/projects/5514267/napisat-parser-kotoryiy-zapolnyaet-mnogoshagovyie-formyi-v-lichnom-kabinete.html"
19,5514683,65,"Риск / исключить",project,open,"500",26,"hh.ru API и ChatGPT для анализа резюме","Поиск, рейтинг и анализ кандидатов. Низкий бюджет и высокий риск автоматизированных HR-решений.","https://www.fl.ru/projects/5514683/integratsiya-hhru-api--chatgpt-sol-56-dlya-analiza-i-razbora-rezyume-i-otvetov-kandidatov.html"
20,5514749,65,"Claude / инфраструктура",project,open,"2 000",5,"Дизайн-система для использования Claude","Перенести готовые макеты Figma в дизайн-систему, удобную для дальнейшей работы Claude.","https://www.fl.ru/projects/5514749/nujno-sozdat-dizayn-sistemu-po-gotovyim-maketam-dlya-ispolzovaniya-claude.html"
21,5513878,60,"Вакансия / роль",vacancy,open,"по результатам собеседования",31,"AI Product Builder","Создание детских цифровых продуктов, связанных с физическими товарами бренда.","https://www.fl.ru/projects/5513878/ai-product-builder---ai-razrabotchik-sozdanie-detskih-tsifrovyih-produktov.html"
22,5514452,60,"Claude / консультация",project,open,"по договоренности",11,"Консультация по Claude","Обучить заказчика настройке Claude для текстов, презентаций и его рабочих задач.","https://www.fl.ru/projects/5514452/konsultatsiya-po-claude.html"
23,5515468,60,"AI-продукт / full-stack",project,open,"по договоренности",40,"Приложение управления ветеринарным бизнесом","Облачное AI-приложение для мобильного ветеринарного сервиса в Москве и Санкт-Петербурге.","https://www.fl.ru/projects/5515468/razrabotchik-dlya-mnogomodulnogo-prilojeniya-upravleniya-veterinarnyim-biznesom.html"
24,5512730,55,"Вакансия / роль",vacancy,open,"по результатам собеседования",17,"Технический сооснователь в B2B-стартап","CTO для продукта, который пытается заменить часть работы B2B-продавцов генеративным AI.","https://www.fl.ru/projects/5512730/ischu-tehnicheskogo-soosnovatelya-cto-v-b2b-startap.html"
25,5513097,55,"Вакансия / роль",vacancy,open,"60 000 ₽ - 75 000 ₽",32,"Support-менеджер / промпт-инженер","Работа с цифровыми сотрудниками для монетизации трафика в мессенджерах.","https://www.fl.ru/projects/5513097/support-menedjer-promt-injener.html"
26,5514724,55,"Компьютерное зрение / данные",project,open,"по договоренности",8,"Сервис обработки видео футбольных матчей","Видеообработка матчей и получение статистики по игрокам.","https://www.fl.ru/projects/5514724/nujen-horoshiy-prompter-dlya-sozdaniya-servisa-obrabotki-videozapisey-futbolnyih-matchey-.html"
27,5514780,50,"AI-продукт / full-stack",project,open,"по договоренности",5,"Локальная Qwen-система в Unreal Engine 5","Интерактивный локальный 3D-аватар на Qwen и Unreal Engine для мощной рабочей станции.","https://www.fl.ru/projects/5514780/lokalnaya-ii-sistemaqwen35b-pod-klyuch-v-unreal-engine-5.html"
28,5515220,50,"Автоматизация / разработка",project,open,"по договоренности",8,"Тегирование файлов в macOS","Автоматически присвоить Finder-теги 3500 музыкальным трекам на внешнем диске.","https://www.fl.ru/projects/5515220/neobhodim-kod-dlya-tegirovaniya-faylov-v-sisteme-mak-os.html"
29,5507597,45,"Человеческие операции",project,open,"по договоренности",10,"Анализ чата по вайб-кодингу","Человеку нужно анализировать чаты и координировать процесс. Это не покупка AI-системы.","https://www.fl.ru/projects/5507597/analiz-chata-po-vayb-kodingu-.html"
30,5509060,45,"Контент / media",project,assigned,"11 000",0,"Автоматизация генерации фотографий","Регулярная генерация фотографий товаров. Исполнитель уже определен.","https://www.fl.ru/projects/5509060/avtomatizatsiya-generatsii-fotografiy-.html"
31,5514008,40,"Вакансия / роль",vacancy,open,"по результатам собеседования",37,"Дизайнер для Food AI","Обработка food-фото и создание изображений для долгосрочных проектов.","https://www.fl.ru/projects/5514008/ischu-dizaynera-dlya-dolgosrochnogo-proektnogo-sotrudnichestva-food-ai-ai-v-foodtech.html"
32,5515254,40,"Вакансия / роль",vacancy,open,"70 000 ₽ - 160 000 ₽",144,"ИИ-креатор","Изображения и короткие видео через Midjourney, Stable Diffusion, Runway и другие инструменты.","https://www.fl.ru/projects/5515254/ii-kreator---ai-kreator-.html"
33,5510785,35,"Вакансия / роль",vacancy,open,"до 50 000 ₽",38,"Генерация трех видео в день","Регулярные видео о приготовлении блюд на кухне заказчика с синтетической озвучкой.","https://www.fl.ru/projects/5510785/generatsiya-3h-video-v-den.html"
34,5515201,35,"Контент / media",project,open,"по договоренности",14,"Сгенерировать картинки дверей-купе","Создать 500 изображений дверей-купе по предоставленным референсам.","https://www.fl.ru/projects/5515201/sgenerirovat-kartinki-dverey-kupe.html"
35,5515226,35,"Контент / media",project,open,"по договоренности",22,"AI-аватар на немецком языке","Долгосрочное создание информационных роликов через HeyGen, Synthesia или аналоги.","https://www.fl.ru/projects/5515226/trebuetsya-spetsialist-po-heygen-ili-analogam-dlya-sozdaniya-rolikov-s-ai-avatarom-na-nemetskom-yazyike.html"
36,5515509,35,"Контент / media",project,open,"по договоренности",2,"Контент для анонса кофейни","Сгенерировать фото и видео для соцсетей по готовым текстовым идеям и материалам.","https://www.fl.ru/projects/5515509/napilit-kontenta-dlya-sotssetey-po-anonsu-kofeyni-k-dnyu-stroitelya.html"
37,5513442,30,"Вакансия / роль",vacancy,open,"по результатам собеседования",28,"AI-креатор коротких роликов","Постоянное создание вертикальных роликов с виртуальными персонажами.","https://www.fl.ru/projects/5513442/nujen-ai-kreator-korotkih-rolikov-dlya-sotssetey-.html"
38,5514366,30,"Вакансия / роль",vacancy,open,"1 100 ₽",42,"Создание песен в ИИ и монтаж клипов","Тексты песен, генерация в Suno и монтаж на готовое видео.","https://www.fl.ru/projects/5514366/sozdanie-pesen-v-ii-i-montaj-klipov.html"
39,5514564,30,"Контент / media",project,open,"по договоренности",24,"Делать картинки с ИИ","Создать 360 однотипных изображений одежды на манекенах.","https://www.fl.ru/projects/5514564/delat-kartinki-s-ii.html"
40,5514642,30,"Контент / media",project,open,"по договоренности",64,"Создание AI-видео с фото","Короткий ролик из фотографий через Runway, Kling AI или аналог.","https://www.fl.ru/projects/5514642/sozdanie-ai-video-s-foto.html"
41,5514820,30,"Контент / media",project,open,"по договоренности",18,"Создать видеоролик с помощью ИИ","Реалистичный ролик по готовому сценарию с озвучкой, титрами и музыкой.","https://www.fl.ru/projects/5514820/sozdat-videorolik-s-pomoschyu-ii.html"
42,5514894,30,"Контент / media",project,open,"по договоренности",12,"AI-видео","Кинематографический рекламный ролик с движением, людьми и машинами.","https://www.fl.ru/projects/5514894/ai-video.html"
43,5515145,30,"Контент / media",project,open,"по договоренности",18,"Карточка товара Wildberries с помощью ИИ","Три статичных изображения одежды по референсам.","https://www.fl.ru/projects/5515145/sozdanie-kartochki-tovara-vb-s-pomoschyu-ii.html"
