cohort_id,slot_no,slot_id,experiment_state,channel,region,icp_id,offer_id,lane,copy_family,slot_status,counts_in_denominator,source_candidate_id,source_url,source_evidence_ref,permission_basis,freshness_state,last_live_checked_at,hard_gate_state,recurring_workflow_named,current_failure_named,reachable_buyer_or_owner_confirmed,safe_sample_confirmed,funded_boundary_accepted,acceptance_rule_written,truthfulness_gate,safety_gate,payment_path,release_cost,authorization_state,released_at,first_reply_at,serious_conversation,qualified_buyer,prepaid_usd,delivery_completed_at,delivery_pass,renewed_at,renewal_paid_usd,buyer_ref,outcome_state,terminal_reason,next_action,confidence
FL-WORKFLOW-RU-V1-2026-07-29,1,FL-WORKFLOW-RU-V1-2026-07-29:S01,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,reserved_unreleased,no,FL-5515592,https://www.fl.ru/projects/5515592/vnedrenie-ii-agenta-dlya-avtomatizatsii-perepisok-s-klientami.html,"research/fl-ru-ai-corpus-2026-07-28.csv row 1; action/28-live-route-audit-2026-07-29.md; action/33-fl-5515592-read-only-recheck-2026-07-29.md","FL.ru project response and platform chat; buyer explicitly invited responses","active at 2026-07-29T10:14:49+04:00",2026-07-29T10:14:49+04:00,pending,yes,yes,yes,unknown,unknown,unknown,pass,pending,"FL.ru Safe Deal required","80 RUB",not_authorized,,,no,no,0,,,,0,,not_released,,"Present the exact non-submitted authorization packet in action/33 to David; do not purchase or submit without a new explicit authorization","High on current reachability, visible route and captured public pain; unknown on response count, assignment, company size, authority, safe sample, funding and checkout eligibility"
FL-WORKFLOW-RU-V1-2026-07-29,2,FL-WORKFLOW-RU-V1-2026-07-29:S02,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"S02 returned to empty after FL-5514909 failed the broad-platform, bounded-acceptance and truthful-proof gates in action/42; search one fresh buyer-authored failure only after the first route decision","No active candidate because the prior source was pre-release rejected without external action"
FL-WORKFLOW-RU-V1-2026-07-29,3,FL-WORKFLOW-RU-V1-2026-07-29:S03,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"S03 returned to empty after FL-5513206 failed the bounded-acceptance, frozen-offer and safety gates in action/49; search one fresh buyer-authored failure only after the first route decision","No active candidate because the prior source was pre-release rejected without external action"
FL-WORKFLOW-RU-V1-2026-07-29,4,FL-WORKFLOW-RU-V1-2026-07-29:S04,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,reserved_unreleased,no,FL-5515230,https://www.fl.ru/projects/5515230/podklyuchit-ii-asisstenta-dlya-prepiski-i-otpravki-fotografiy-v-chate.html,"research/fl-ru-ai-corpus-2026-07-28.csv row 5; action/acquisition-execution-ledger.csv FL-5515230; action/46-fl-5515230-read-only-recheck-2026-07-29.md","FL.ru project response and platform chat; buyer explicitly invited responses","active at 2026-07-29T12:12:08+04:00",2026-07-29T12:12:08+04:00,pending,yes,unknown,yes,unknown,unknown,unknown,pass,pending,"FL.ru Safe Deal required","80 RUB",not_authorized,,,no,no,0,,,,0,,not_released,,"Keep as fallback behind S01; present the exact action/46 packet only if David chooses this route; do not purchase or submit without a new explicit authorization","Medium-high on current reachability, visible 80 RUB route, six-year buyer account and bounded copy fit; unknown on authority, consent, media rights, safe sample, funding and checkout eligibility"
FL-WORKFLOW-RU-V1-2026-07-29,5,FL-WORKFLOW-RU-V1-2026-07-29:S05,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Current official FL.ru AI, bot and CRM search found no passing source in action/52; leave empty and stop broad research before the S01 decision","No evidence for a passing source because the point-in-time S05 search rejected or skipped every new row"
FL-WORKFLOW-RU-V1-2026-07-29,6,FL-WORKFLOW-RU-V1-2026-07-29:S06,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Search one fresh buyer-authored FL.ru CRM or messaging failure at a time; leave empty if no row meets the frozen contract","No evidence because the slot is intentionally empty"
FL-WORKFLOW-RU-V1-2026-07-29,7,FL-WORKFLOW-RU-V1-2026-07-29:S07,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Search one fresh buyer-authored FL.ru CRM or messaging failure at a time; leave empty if no row meets the frozen contract","No evidence because the slot is intentionally empty"
FL-WORKFLOW-RU-V1-2026-07-29,8,FL-WORKFLOW-RU-V1-2026-07-29:S08,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Search one fresh buyer-authored FL.ru CRM or messaging failure at a time; leave empty if no row meets the frozen contract","No evidence because the slot is intentionally empty"
FL-WORKFLOW-RU-V1-2026-07-29,9,FL-WORKFLOW-RU-V1-2026-07-29:S09,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Search one fresh buyer-authored FL.ru CRM or messaging failure at a time; leave empty if no row meets the frozen contract","No evidence because the slot is intentionally empty"
FL-WORKFLOW-RU-V1-2026-07-29,10,FL-WORKFLOW-RU-V1-2026-07-29:S10,pre_release,FL.ru,RU/CIS,SERVICE-SMB-OPS-5-50-V1,KORA-WRP-USD100-DRAFT-PACKET-V1,Kora-shaped paid pilot,FL-WORKFLOW-01,empty,no,,,,"No source assigned",not_applicable,,not_evaluated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,not_requested,,,no,no,0,,,,0,,empty,,"Search one fresh buyer-authored FL.ru CRM or messaging failure at a time; leave empty if no row meets the frozen contract","No evidence because the slot is intentionally empty"
