audit_rank,source_row,job_id,title,technical_match,live_at_capture,proposals,last_viewed,interviewing,hires,invites,connects_required,payment_status,client_spend,strict_cohort_fit,decision,reason,evidence_url
1,76,~022079631969043129867,"AI Workflow Automation Developer for Order Processing and Operations",90,yes,50+,yesterday,1,0,0,18,verified,"USD 106K",conditional,release_candidate,"Best Upwork fit for the fixed proof, but only if the buyer accepts one USD 100 export-only milestone inside the USD 300 brief",https://www.upwork.com/jobs/~022079631969043129867
2,43,~022082023362208208284,"AI Agent and n8n Automation System for Freight Forwarding Company",85,yes,20-50,not_shown,1,0,1,11,unverified,not_shown,conditional,hold,"Fresh and lower-cost entry, but payment must be verified and later RFQ or WhatsApp phases must stay out of scope",https://www.upwork.com/jobs/~022082023362208208284
3,53,~022080272851686168921,"AI Agent Developer for Field Service Operations Automation",90,yes,50+,yesterday,1,1,0,18,verified,"USD 36K",conditional,hold,"Strong buyer history, but the current listing already shows one hire and the requested phase is wider than the fixed proof",https://www.upwork.com/jobs/~022080272851686168921
4,57,~022080037748505517610,"Agentic AI Customer Support System for Real Estate Business",75,yes,20-50,"6 days ago",6,0,11,11,verified,not_shown,no,killed,"New client with six interviews and eleven invites already in motion; the saved proof gap and voice scope make the entry weak",https://www.upwork.com/jobs/~022080037748505517610
5,58,~022080940319229875612,"AI Automation Developers - Build Production AI Agents for Real Businesses",75,yes,20-50,"3 days ago",0,0,0,19,verified,not_shown,no,killed,"The stated USD 50 paid test is below the USD 100 Kora proof and the hourly range is USD 10-20",https://www.upwork.com/jobs/~022080940319229875612
6,87,~022076935615291863294,"AI Automation for Marketing Agency",90,yes,50+,"2 weeks ago",0,0,0,14,verified,not_shown,no,killed,"The buyer has not viewed the listing for two weeks and has no interviews",https://www.upwork.com/jobs/~022076935615291863294
7,81,~022071869598491167955,"AI Automation Specialist for Lead Qualification and Appointment Booking",90,yes,20-50,"4 weeks ago",11,0,0,11,verified,not_shown,no,killed,"The buyer has not viewed the listing for four weeks and already has eleven interviews",https://www.upwork.com/jobs/~022071869598491167955
8,61,~022079500683280398086,"Agentic AI Automation Engineer",95,yes,50+,"4 days ago",3,0,0,26,verified,"USD 3K",no,killed,"The listing costs 26 of the available 29 Connects and requires two to three comparable live builds",https://www.upwork.com/jobs/~022079500683280398086
9,93,~022075311922210730379,"AI Automation Engineer - Build One Business-Ops AI Agent",95,yes,50+,"2 weeks ago",3,1,0,26,verified,"USD 1K",no,killed,"The listing already shows one hire, was last viewed two weeks ago and costs 26 Connects",https://www.upwork.com/jobs/~022075311922210730379
10,10,~022082094672185738150,"AI Agent and CRM System Setup",95,yes,50+,yesterday,30,0,39,26,verified,"USD 66K",no,killed,"The highest saved technical match is commercially saturated with thirty interviews and thirty-nine invites",https://www.upwork.com/jobs/~022082094672185738150
