group,record_key,platform,match,report_rank,title,budget,competition,posted,url
"lead-response","Upwork:~022079500683280398086","Upwork","95","1","Agentic AI Automation Engineer","Hourly: $40.00 - $75.00","50+","last week","https://www.upwork.com/jobs/span-class-highlight-Agentic-span-span-class-highlight-span-span-class-highlight-Automation-span-Engineer_~022079500683280398086/?referrer_url_path=/nx/search/jobs/"
"lead-response","Upwork:~022082094672185738150","Upwork","95","2","AI Agent / CRM System Setup","Hourly: $22-$29","50+","4 hours ago","https://www.upwork.com/jobs/Agent-CRM-System-Setup_~022082094672185738150/?referrer_url_path=find_work_home"
"lead-response","Upwork:~022081957032774069874","Upwork","90","120","AI Automation Developer - Gmail, OpenAI & SMS","Hourly: $15-$35","50+","13 hours ago","https://www.upwork.com/jobs/Automation-Developer-Gmail-OpenAI-SMS_~022081957032774069874/?referrer_url_path=find_work_home"
"lead-response","Upwork:~022071869598491167955","Upwork","90","121","AI Automation Specialist for Lead Qualification, CRM Routing and Multichannel Appointment Booking","$500.00","20 to 50","4 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Specialist-for-Lead-Qualification-CRM-Routing-and-Multichannel-Appointment-Booking_~022071869598491167955/?referrer_url_path=/nx/search/jobs/"
"lead-response","Upwork:~022076935615291863294","Upwork","90","8","Ai Automation for marketing agency","$900.00","50+","2 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-for-marketing-agency_~022076935615291863294/?referrer_url_path=/nx/search/jobs/"
"lead-response","Upwork:~022080272851686168921","Upwork","90","3","AI Agent Developer for Field Service Operations Automation","$550.00","50+","5 days ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-Developer-for-Field-Service-Operations-span-class-highlight-Automation-span_~022080272851686168921/?referrer_url_path=/nx/search/jobs/"
"lead-response","Upwork:~022080037748505517610","Upwork","75","123","Agentic AI Customer Support System for Real Estate Business","$200.00","20 to 50","5 days ago","https://www.upwork.com/jobs/span-class-highlight-Agentic-span-span-class-highlight-span-Customer-Support-System-for-Real-Estate-Business_~022080037748505517610/?referrer_url_path=/nx/search/jobs/"
"lead-response","Upwork:~022082076899341845245","Upwork","85","100","Full Stack AI Automation Engineer Ai Sales Workflow Platform","Hourly: $25-$47","50+","5 hours ago","https://www.upwork.com/jobs/Full-Stack-Automation-Engineer-Sales-Workflow-Platform_~022082076899341845245/?referrer_url_path=find_work_home"
"lead-response","Upwork:~022082059740997677549","Upwork","90","99","Senior AI Engineer to Build an AI Sales Operations Employee (LLMs, CRM, Multi-Agent AI)","Hourly: $30-$45","50+","6 hours ago","https://www.upwork.com/jobs/Senior-Engineer-Build-Sales-Operations-Employee-LLMs-CRM-Multi-Agent_~022082059740997677549/?referrer_url_path=find_work_home"
"lead-response","Upwork:~022082023362208208284","Upwork","85","10","AI Agent & n8n Automation System for Freight Forwarding Company","Hourly","20 to 50","5 hours ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-amp-n8n-span-class-highlight-Automation-span-System-for-Freight-Forwarding-Company_~022082023362208208284/?referrer_url_path=/nx/search/jobs/"
"client-inbox","Upwork:~022069443845701876220","Upwork","95","116","AI Automation Engineer: Build a Custom Claude Customer Service Agent","Hourly: $40.00 - $80.00","50+","last month","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-Custom-Claude-Customer-Service-span-class-highlight-Agent-span_~022069443845701876220/?referrer_url_path=/nx/search/jobs/"
"client-inbox","FL.ru:5515592","FL.ru","95","115","Внедрение ИИ-агента для автоматизации переписок с клиентами","по договоренности","26","not saved","https://www.fl.ru/projects/5515592/vnedrenie-ii-agenta-dlya-avtomatizatsii-perepisok-s-klientami.html"
"client-inbox","FL.ru:5514909","FL.ru","93","117","Интеграция GPT и Битрикс для международной логистики","по договоренности","45","not saved","https://www.fl.ru/projects/5514909/integratsiya-gpt-i-bitriks-dlya-mejdunarodnoy-logistiki-.html"
"client-inbox","FL.ru:5513206","FL.ru","92","118","AI агент","по договоренности","17","not saved","https://www.fl.ru/projects/5513206/ai-agent.html"
"client-inbox","FL.ru:5515230","FL.ru","90","119","Подключить ИИ-ассистента для переписки и отправки фотографий в чате","по договоренности","24","not saved","https://www.fl.ru/projects/5515230/podklyuchit-ii-asisstenta-dlya-prepiski-i-otpravki-fotografiy-v-chate.html"
"client-inbox","Upwork:~022081818297985759122","Upwork","70","125","n8n AI Automation Specialist for Chatbot","Hourly: $19-$40","20 to 50","yesterday","https://www.upwork.com/jobs/n8n-Automation-Specialist-for-Chatbot_~022081818297985759122/?referrer_url_path=find_work_home"
"client-inbox","Upwork:~022075920337694781992","Upwork","60","127","AI Automation Expert","$1,500.00","50+","3 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Expert_~022075920337694781992/?referrer_url_path=/nx/search/jobs/"
"operations-docs","Upwork:~022079631969043129867","Upwork","90","9","AI Workflow Automation Developer for Order Processing and Operations","$300.00","50+","last week","https://www.upwork.com/jobs/span-class-highlight-span-Workflow-span-class-highlight-Automation-span-Developer-for-Order-Processing-and-Operations_~022079631969043129867/?referrer_url_path=/nx/search/jobs/"
"operations-docs","Upwork:~022073883528374083136","Upwork","90","6","AI Automation Engineer Build AI Transaction Coordinator for Brivity CRM Claude + Browser Automation","Hourly: $25.00 - $75.00","50+","3 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-span-class-highlight-span-Transaction-Coordinator-for-Brivity-CRM-Claude-Browser-span-class-highlight-Automation-span_~022073883528374083136/?referrer_url_path=/nx/search/jobs/"
